"","Month","PM10...µg.m.","COMUNE","Year"
"437","gennaio",49.741935483871,"Capriano del Colle","2020"
"438","giugno",13.2333333333333,"Capriano del Colle","2020"
"439","luglio",17.1333333333333,"Capriano del Colle","2020"
"440","maggio",16.258064516129,"Capriano del Colle","2020"
"441","marzo",30.9354838709677,"Capriano del Colle","2020"
"442","novembre",53.2666666666667,"Capriano del Colle","2020"
"443","ottobre",30.4516129032258,"Capriano del Colle","2020"
"444","settembre",26.2666666666667,"Capriano del Colle","2020"
"445","agosto",15.741935483871,"Capriolo","2020"
"446","aprile",17.6666666666667,"Capriolo","2020"
"447","dicembre",40.5,"Capriolo","2020"
"448","febbraio",23.6896551724138,"Capriolo","2020"
"449","gennaio",33.258064516129,"Capriolo","2020"
"450","giugno",10.1,"Capriolo","2020"
"451","luglio",15.5333333333333,"Capriolo","2020"
"452","maggio",11.6774193548387,"Capriolo","2020"
"453","marzo",20.1612903225806,"Capriolo","2020"
"454","novembre",48.3,"Capriolo","2020"
"455","ottobre",24.1612903225806,"Capriolo","2020"
"456","settembre",21.1333333333333,"Capriolo","2020"
"457","agosto",19.6451612903226,"Carpenedolo","2020"
"458","aprile",20.5666666666667,"Carpenedolo","2020"
"459","dicembre",29,"Carpenedolo","2020"
"460","febbraio",28.6896551724138,"Carpenedolo","2020"
"461","gennaio",37.5161290322581,"Carpenedolo","2020"
"462","giugno",11.5666666666667,"Carpenedolo","2020"
"463","luglio",16.1333333333333,"Carpenedolo","2020"
"464","maggio",13.1612903225806,"Carpenedolo","2020"
"465","marzo",25.1935483870968,"Carpenedolo","2020"
"466","novembre",52.3,"Carpenedolo","2020"
"467","ottobre",32.1290322580645,"Carpenedolo","2020"
"468","settembre",24.8666666666667,"Carpenedolo","2020"
"469","agosto",18.8709677419355,"Castegnato","2020"
"470","aprile",23.9333333333333,"Castegnato","2020"
"471","dicembre",43,"Castegnato","2020"
"472","febbraio",42.7241379310345,"Castegnato","2020"
"473","gennaio",52.7741935483871,"Castegnato","2020"
"474","giugno",14.4666666666667,"Castegnato","2020"
"475","luglio",17.8333333333333,"Castegnato","2020"
"476","maggio",17.2903225806452,"Castegnato","2020"
"477","marzo",31.741935483871,"Castegnato","2020"
"478","novembre",53.4666666666667,"Castegnato","2020"
"479","ottobre",28.2258064516129,"Castegnato","2020"
"480","settembre",24.5333333333333,"Castegnato","2020"
"481","agosto",19.5161290322581,"Castel Mella","2020"
"482","aprile",25.5333333333333,"Castel Mella","2020"
"483","dicembre",39,"Castel Mella","2020"
"484","febbraio",42.8275862068966,"Castel Mella","2020"
"485","gennaio",56.7096774193548,"Castel Mella","2020"
"486","giugno",14.6333333333333,"Castel Mella","2020"
"487","luglio",17.2666666666667,"Castel Mella","2020"
"488","maggio",18.2258064516129,"Castel Mella","2020"
"489","marzo",33.8064516129032,"Castel Mella","2020"
"490","novembre",53.4333333333333,"Castel Mella","2020"
"491","ottobre",29.4193548387097,"Castel Mella","2020"
"492","settembre",25.1,"Castel Mella","2020"
"493","agosto",19.2903225806452,"Castelcovati","2020"
"494","aprile",19.7,"Castelcovati","2020"
"495","dicembre",34.5,"Castelcovati","2020"
"496","febbraio",24.6896551724138,"Castelcovati","2020"
"497","gennaio",34.3548387096774,"Castelcovati","2020"
"498","giugno",11.7,"Castelcovati","2020"
"499","luglio",17.0333333333333,"Castelcovati","2020"
"500","maggio",13.0967741935484,"Castelcovati","2020"
"501","marzo",24.3548387096774,"Castelcovati","2020"
"502","novembre",52.2666666666667,"Castelcovati","2020"
"503","ottobre",29,"Castelcovati","2020"
"504","settembre",26.2666666666667,"Castelcovati","2020"
"505","agosto",20.3548387096774,"Castenedolo","2020"
"506","aprile",23.8666666666667,"Castenedolo","2020"
"507","dicembre",37.5,"Castenedolo","2020"
"508","febbraio",36.4827586206897,"Castenedolo","2020"
"509","gennaio",49.0645161290323,"Castenedolo","2020"
"510","giugno",12.7666666666667,"Castenedolo","2020"
"511","luglio",17.4666666666667,"Castenedolo","2020"
"512","maggio",16.1612903225806,"Castenedolo","2020"
"513","marzo",29.9032258064516,"Castenedolo","2020"
"514","novembre",55.5333333333333,"Castenedolo","2020"
"515","ottobre",31.5806451612903,"Castenedolo","2020"
