",""Month"",""PM10...µg.m."",""COMUNE"""
"433,""agosto"",20.3548387096774,""Capriano del Colle"""
"434,""aprile"",23.6,""Capriano del Colle"""
"435,""dicembre"",35.5,""Capriano del Colle"""
"436,""febbraio"",36.5862068965517,""Capriano del Colle"""
"437,""gennaio"",49.741935483871,""Capriano del Colle"""
"438,""giugno"",13.2333333333333,""Capriano del Colle"""
"439,""luglio"",17.1333333333333,""Capriano del Colle"""
"440,""maggio"",16.258064516129,""Capriano del Colle"""
"441,""marzo"",30.9354838709677,""Capriano del Colle"""
"442,""novembre"",53.2666666666667,""Capriano del Colle"""
"443,""ottobre"",30.4516129032258,""Capriano del Colle"""
"444,""settembre"",26.2666666666667,""Capriano del Colle"""
"445,""agosto"",15.741935483871,""Capriolo"""
"446,""aprile"",17.6666666666667,""Capriolo"""
"447,""dicembre"",40.5,""Capriolo"""
"448,""febbraio"",23.6896551724138,""Capriolo"""
"449,""gennaio"",33.258064516129,""Capriolo"""
"450,""giugno"",10.1,""Capriolo"""
"451,""luglio"",15.5333333333333,""Capriolo"""
"452,""maggio"",11.6774193548387,""Capriolo"""
"453,""marzo"",20.1612903225806,""Capriolo"""
"454,""novembre"",48.3,""Capriolo"""
"455,""ottobre"",24.1612903225806,""Capriolo"""
"456,""settembre"",21.1333333333333,""Capriolo"""
"457,""agosto"",19.6451612903226,""Carpenedolo"""
"458,""aprile"",20.5666666666667,""Carpenedolo"""
"459,""dicembre"",29,""Carpenedolo"""
"460,""febbraio"",28.6896551724138,""Carpenedolo"""
"461,""gennaio"",37.5161290322581,""Carpenedolo"""
"462,""giugno"",11.5666666666667,""Carpenedolo"""
"463,""luglio"",16.1333333333333,""Carpenedolo"""
"464,""maggio"",13.1612903225806,""Carpenedolo"""
"465,""marzo"",25.1935483870968,""Carpenedolo"""
"466,""novembre"",52.3,""Carpenedolo"""
"467,""ottobre"",32.1290322580645,""Carpenedolo"""
"468,""settembre"",24.8666666666667,""Carpenedolo"""
"469,""agosto"",18.8709677419355,""Castegnato"""
"470,""aprile"",23.9333333333333,""Castegnato"""
"471,""dicembre"",43,""Castegnato"""
"472,""febbraio"",42.7241379310345,""Castegnato"""
"473,""gennaio"",52.7741935483871,""Castegnato"""
"474,""giugno"",14.4666666666667,""Castegnato"""
"475,""luglio"",17.8333333333333,""Castegnato"""
"476,""maggio"",17.2903225806452,""Castegnato"""
"477,""marzo"",31.741935483871,""Castegnato"""
"478,""novembre"",53.4666666666667,""Castegnato"""
"479,""ottobre"",28.2258064516129,""Castegnato"""
"480,""settembre"",24.5333333333333,""Castegnato"""
"481,""agosto"",19.5161290322581,""Castel Mella"""
"482,""aprile"",25.5333333333333,""Castel Mella"""
"483,""dicembre"",39,""Castel Mella"""
"484,""febbraio"",42.8275862068966,""Castel Mella"""
"485,""gennaio"",56.7096774193548,""Castel Mella"""
"486,""giugno"",14.6333333333333,""Castel Mella"""
"487,""luglio"",17.2666666666667,""Castel Mella"""
"488,""maggio"",18.2258064516129,""Castel Mella"""
"489,""marzo"",33.8064516129032,""Castel Mella"""
"490,""novembre"",53.4333333333333,""Castel Mella"""
"491,""ottobre"",29.4193548387097,""Castel Mella"""
"492,""settembre"",25.1,""Castel Mella"""
"493,""agosto"",19.2903225806452,""Castelcovati"""
"494,""aprile"",19.7,""Castelcovati"""
"495,""dicembre"",34.5,""Castelcovati"""
"496,""febbraio"",24.6896551724138,""Castelcovati"""
"497,""gennaio"",34.3548387096774,""Castelcovati"""
"498,""giugno"",11.7,""Castelcovati"""
"499,""luglio"",17.0333333333333,""Castelcovati"""
"500,""maggio"",13.0967741935484,""Castelcovati"""
"501,""marzo"",24.3548387096774,""Castelcovati"""
"502,""novembre"",52.2666666666667,""Castelcovati"""
"503,""ottobre"",29,""Castelcovati"""
"504,""settembre"",26.2666666666667,""Castelcovati"""
"505,""agosto"",20.3548387096774,""Castenedolo"""
"506,""aprile"",23.8666666666667,""Castenedolo"""
"507,""dicembre"",37.5,""Castenedolo"""
"508,""febbraio"",36.4827586206897,""Castenedolo"""
"509,""gennaio"",49.0645161290323,""Castenedolo"""
"510,""giugno"",12.7666666666667,""Castenedolo"""
"511,""luglio"",17.4666666666667,""Castenedolo"""
"512,""maggio"",16.1612903225806,""Castenedolo"""
"513,""marzo"",29.9032258064516,""Castenedolo"""
"514,""novembre"",55.5333333333333,""Castenedolo"""
"515,""ottobre"",31.5806451612903,""Castenedolo"""
"516,""settembre"",26.0333333333333,""Castenedolo"""
"517,""agosto"",5.38709677419355,""Casto"""
"518,""aprile"",18.7666666666667,""Casto"""
"519,""dicembre"",14,""Casto"""
"520,""febbraio"",30.9655172413793,""Casto"""
"521,""gennaio"",34.3225806451613,""Casto"""
"522,""giugno"",9.36666666666667,""Casto"""
"523,""luglio"",7.5,""Casto"""
"524,""maggio"",12.7741935483871,""Casto"""
"525,""marzo"",23.3225806451613,""Casto"""
"526,""novembre"",24.6,""Casto"""
"527,""ottobre"",8,""Casto"""
"528,""settembre"",8,""Casto"""
"529,""agosto"",19,""Castrezzato"""
"530,""aprile"",20.2,""Castrezzato"""
"531,""dicembre"",35.5,""Castrezzato"""
"532,""febbraio"",26.3103448275862,""Castrezzato"""
"533,""gennaio"",35.5483870967742,""Castrezzato"""
"534,""giugno"",11.8666666666667,""Castrezzato"""
"535,""luglio"",16.8,""Castrezzato"""
"536,""maggio"",13.5161290322581,""Castrezzato"""
"537,""marzo"",25.3225806451613,""Castrezzato"""
"538,""novembre"",50.9,""Castrezzato"""
